asdf 34
asdfasdf	1	207	188.000000
njfdhefhf	24	1	188.000000
wef	312	1	188.000000
g	312	1	188.000000
aga	312	1	188.000000
gsag	312	1	188.000000
aw	312	1	188.000000
4qgw	312	1	188.000000
tyn	312	1	188.000000
te	312	1	188.000000
dr	312	1	188.000000
ner	312	1	188.000000
dfhc	312	1	188.000000
ratj	312	1	188.000000
ty	312	1	188.000000
fyt	312	1	188.000000
d	312	1	188.000000
i	312	1	188.000000
e5	312	1	188.000000
dty	312	1	188.000000
5i	312	1	188.000000
f	312	1	188.000000
aertsr	312	1	188.000000
st	312	1	188.000000
tsr	312	1	188.000000
sryyrs	312	1	188.000000
78[18~	76	1	188.000000
3	76	1	188.000000
s[17~w	76	1	188.000000
zq	347	1	188.000000
r8	347	1	188.000000
w64	347	1	188.000000
e7	347	1	188.000000
234y	45	4	2.000000
